Região,nome_uf,nome_mun,cod_mun_ibge,total_ubs
Centro-Oeste,Mato Grosso do Sul,Novo Horizonte do Sul,500625,3
Centro-Oeste,Mato Grosso do Sul,Paranaíba,500630,14
Centro-Oeste,Mato Grosso do Sul,Paranhos,500635,4
Centro-Oeste,Mato Grosso do Sul,Paraíso das Águas,500627,4
Centro-Oeste,Mato Grosso do Sul,Pedro Gomes,500640,4
Centro-Oeste,Mato Grosso do Sul,Ponta Porã,500660,24
Centro-Oeste,Mato Grosso do Sul,Porto Murtinho,500690,4
Centro-Oeste,Mato Grosso do Sul,Ribas do Rio Pardo,500710,7
Centro-Oeste,Mato Grosso do Sul,Rio Brilhante,500720,13
Centro-Oeste,Mato Grosso do Sul,Rio Negro,500730,3
Centro-Oeste,Mato Grosso do Sul,Rio Verde de Mato Grosso,500740,12
Centro-Oeste,Mato Grosso do Sul,Rochedo,500750,2
Centro-Oeste,Mato Grosso do Sul,Santa Rita do Pardo,500755,1
Centro-Oeste,Mato Grosso do Sul,Selvíria,500780,3
Centro-Oeste,Mato Grosso do Sul,Sete Quedas,500770,5
Centro-Oeste,Mato Grosso do Sul,Sidrolândia,500790,15
Centro-Oeste,Mato Grosso do Sul,Sonora,500793,7
Centro-Oeste,Mato Grosso do Sul,São Gabriel do Oeste,500769,13
Centro-Oeste,Mato Grosso do Sul,Tacuru,500795,2
Centro-Oeste,Mato Grosso do Sul,Taquarussu,500797,2
Centro-Oeste,Mato Grosso do Sul,Três Lagoas,500830,20
Centro-Oeste,Mato Grosso do Sul,Vicentina,500840,4
Centro-Oeste,Mato Grosso do Sul,Água Clara,500020,4
Nordeste,Alagoas,Anadia,270020,7
Nordeste,Alagoas,Arapiraca,270030,44
Nordeste,Alagoas,Atalaia,270040,18
Nordeste,Alagoas,Barra de Santo Antônio,270050,6
Nordeste,Alagoas,Barra de São Miguel,270060,4
Nordeste,Alagoas,Batalha,270070,7
Nordeste,Alagoas,Belo Monte,270090,3
Nordeste,Alagoas,Belém,270080,4
Nordeste,Alagoas,Boca da Mata,270100,11
Nordeste,Alagoas,Branquinha,270110,5
Nordeste,Alagoas,Cacimbinhas,270120,5
Nordeste,Alagoas,Cajueiro,270130,8
Nordeste,Alagoas,Campestre,270135,3
Nordeste,Alagoas,Campo Alegre,270140,16
Nordeste,Alagoas,Campo Grande,270150,7
